municipio,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,municipio_sidra
Tijucas (SC),0.76,0.747,0.672,0.873,Tijucas - SC
Tapejara (RS),0.76,0.763,0.688,0.837,Tapejara - RS
Taiúva (SP),0.76,0.732,0.718,0.835,Taiúva - SP
Descalvado (SP),0.76,0.74,0.687,0.865,Descalvado - SP
Salvador (BA),0.759,0.772,0.679,0.835,Salvador - BA
Três de Maio (RS),0.759,0.756,0.694,0.834,Três de Maio - RS
Caraguatatuba (SP),0.759,0.735,0.705,0.845,Caraguatatuba - SP
Várzea Paulista (SP),0.759,0.72,0.705,0.863,Várzea Paulista - SP
Santo Antônio do Planalto (RS),0.759,0.701,0.705,0.885,Santo Antônio do Planalto - RS
Presidente Getúlio (SC),0.759,0.764,0.654,0.874,Presidente Getúlio - SC
Rio das Pedras (SP),0.759,0.741,0.7,0.842,Rio das Pedras - SP
Penápolis (SP),0.759,0.748,0.68,0.859,Penápolis - SP
São Lourenço (MG),0.759,0.746,0.673,0.871,São Lourenço - MG
Gurupi (TO),0.759,0.736,0.706,0.843,Gurupi - TO
Taquaral (SP),0.759,0.742,0.716,0.823,Taquaral - SP
Nova Candelária (RS),0.759,0.794,0.643,0.856,Nova Candelária - RS
Monte Alegre do Sul (SP),0.759,0.752,0.678,0.858,Monte Alegre do Sul - SP
Inúbia Paulista (SP),0.759,0.688,0.75,0.849,Inúbia Paulista - SP
Rubinéia (SP),0.759,0.713,0.726,0.844,Rubinéia - SP
Cornélio Procópio (PR),0.759,0.746,0.692,0.848,Cornélio Procópio - PR
Iporã do Oeste (SC),0.759,0.743,0.695,0.847,Iporã do Oeste - SC
Cordeirópolis (SP),0.758,0.754,0.674,0.858,Cordeirópolis - SP
Itaúna (MG),0.758,0.749,0.685,0.85,Itaúna - MG
Colorado (RS),0.758,0.775,0.674,0.835,Colorado - RS
Nova Mutum (MT),0.758,0.773,0.673,0.837,Nova Mutum - MT
Guabiju (RS),0.758,0.831,0.612,0.857,Guabiju - RS
Maripá (PR),0.758,0.736,0.684,0.866,Maripá - PR
Álvares Machado (SP),0.758,0.712,0.732,0.834,Álvares Machado - SP
Herval D'Oeste (SC),0.758,0.74,0.684,0.859,Herval D'Oeste - SC
Iguaraçu (PR),0.758,0.714,0.732,0.833,Iguaraçu - PR
Fernando Prestes (SP),0.758,0.746,0.68,0.859,Fernando Prestes - SP
Nova Londrina (PR),0.758,0.735,0.691,0.856,Nova Londrina - PR
Porto Feliz (SP),0.758,0.737,0.706,0.836,Porto Feliz - SP
Piraju (SP),0.758,0.74,0.699,0.843,Piraju - SP
Piratuba (SC),0.758,0.736,0.714,0.829,Piratuba - SC
São João Del Rei (MG),0.758,0.733,0.69,0.86,São João Del Rei - MG
Picada Café (RS),0.758,0.738,0.701,0.842,Picada Café - RS
Faxinal dos Guedes (SC),0.758,0.746,0.676,0.863,Faxinal dos Guedes - SC
São José dos Pinhais (PR),0.758,0.749,0.678,0.859,São José dos Pinhais - PR
João Monlevade (MG),0.758,0.724,0.708,0.849,João Monlevade - MG
Antônio Prado (RS),0.758,0.777,0.671,0.835,Antônio Prado - RS
Cachoeirinha (RS),0.757,0.749,0.675,0.857,Cachoeirinha - RS
Presidente Lucena (RS),0.757,0.727,0.674,0.885,Presidente Lucena - RS
Piquete (SP),0.757,0.711,0.74,0.823,Piquete - SP
Santo Antônio do Aracanguá (SP),0.757,0.71,0.728,0.84,Santo Antônio do Aracanguá - SP
Presidente Bernardes (SP),0.757,0.718,0.719,0.839,Presidente Bernardes - SP
Diadema (SP),0.757,0.717,0.716,0.844,Diadema - SP
Colina (SP),0.757,0.72,0.712,0.845,Colina - SP
Santa Rosa de Lima (SC),0.757,0.726,0.71,0.843,Santa Rosa de Lima - SC
Vanini (RS),0.757,0.736,0.704,0.836,Vanini - RS
Estância Velha (RS),0.757,0.749,0.652,0.887,Estância Velha - RS
Pedro Leopoldo (MG),0.757,0.723,0.7,0.856,Pedro Leopoldo - MG
Águas de Santa Bárbara (SP),0.757,0.744,0.695,0.84,Águas de Santa Bárbara - SP
Jataí (GO),0.757,0.774,0.656,0.856,Jataí - GO
Canoinhas (SC),0.757,0.717,0.692,0.874,Canoinhas - SC
Campo Mourão (PR),0.757,0.749,0.689,0.841,Campo Mourão - PR
Gravatal (SC),0.757,0.726,0.681,0.877,Gravatal - SC
Chapada (RS),0.757,0.752,0.679,0.849,Chapada - RS
Vista Gaúcha (RS),0.757,0.774,0.669,0.839,Vista Gaúcha - RS
Dois Lajeados (RS),0.757,0.775,0.67,0.837,Dois Lajeados - RS
Palhoça (SC),0.757,0.752,0.672,0.859,Palhoça - SC
Quinze de Novembro (RS),0.756,0.783,0.655,0.841,Quinze de Novembro - RS
Itabira (MG),0.756,0.729,0.678,0.873,Itabira - MG
Ilhabela (SP),0.756,0.739,0.693,0.843,Ilhabela - SP
Cravinhos (SP),0.756,0.737,0.683,0.857,Cravinhos - SP
Jambeiro (SP),0.756,0.727,0.69,0.86,Jambeiro - SP
Passos (MG),0.756,0.741,0.658,0.886,Passos - MG
Contagem (MG),0.756,0.745,0.697,0.832,Contagem - MG
Bálsamo (SP),0.756,0.746,0.695,0.835,Bálsamo - SP
Balneário Piçarras (SC),0.756,0.745,0.668,0.869,Balneário Piçarras - SC
Fortaleza dos Valos (RS),0.756,0.779,0.663,0.837,Fortaleza dos Valos - RS
Nova Castilho (SP),0.756,0.694,0.755,0.823,Nova Castilho - SP
Pirangi (SP),0.756,0.735,0.701,0.837,Pirangi - SP
Hortolândia (SP),0.756,0.716,0.703,0.859,Hortolândia - SP
São Pedro (SP),0.755,0.741,0.674,0.863,São Pedro - SP
Brodowski (SP),0.755,0.738,0.675,0.864,Brodowski - SP
Alto Bela Vista (SC),0.755,0.734,0.664,0.882,Alto Bela Vista - SC
Rondonópolis (MT),0.755,0.749,0.698,0.823,Rondonópolis - MT
São José do Ouro (RS),0.755,0.759,0.669,0.846,São José do Ouro - RS
Montenegro (RS),0.755,0.761,0.654,0.866,Montenegro - RS
Pongaí (SP),0.755,0.727,0.701,0.844,Pongaí - SP
Coronel Fabriciano (MG),0.755,0.715,0.696,0.865,Coronel Fabriciano - MG
Formiga (MG),0.755,0.729,0.676,0.874,Formiga - MG
Orleans (SC),0.755,0.749,0.657,0.873,Orleans - SC
Cianorte (PR),0.755,0.747,0.685,0.841,Cianorte - PR
Saudades (SC),0.755,0.723,0.7,0.85,Saudades - SC
Aparecida (SP),0.755,0.735,0.706,0.828,Aparecida - SP
São Ludgero (SC),0.755,0.756,0.683,0.834,São Ludgero - SC
Analândia (SP),0.754,0.745,0.668,0.861,Analândia - SP
Rodeio (SC),0.754,0.769,0.626,0.889,Rodeio - SC
Lauro de Freitas (BA),0.754,0.781,0.663,0.827,Lauro de Freitas - BA
Esteio (RS),0.754,0.769,0.662,0.843,Esteio - RS
Boracéia (SP),0.754,0.723,0.685,0.866,Boracéia - SP
Flores da Cunha (RS),0.754,0.786,0.642,0.849,Flores da Cunha - RS
Fortaleza (CE),0.754,0.749,0.695,0.824,Fortaleza - CE
Praia Grande (SP),0.754,0.744,0.692,0.834,Praia Grande - SP
Cunhataí (SC),0.754,0.777,0.623,0.886,Cunhataí - SC
São Vendelino (RS),0.754,0.743,0.677,0.852,São Vendelino - RS
Vera Cruz (SP),0.754,0.722,0.715,0.83,Vera Cruz - SP
Rio Verde (GO),0.754,0.765,0.656,0.853,Rio Verde - GO
Constantina (RS),0.754,0.726,0.668,0.885,Constantina - RS
Guabiruba (SC),0.754,0.75,0.653,0.876,Guabiruba - SC
Rio do Oeste (SC),0.754,0.769,0.625,0.892,Rio do Oeste - SC
Mongaguá (SP),0.754,0.719,0.699,0.854,Mongaguá - SP
Corumbataí (SP),0.754,0.728,0.7,0.841,Corumbataí - SP
Chapadão do Sul (MS),0.754,0.758,0.665,0.85,Chapadão do Sul - MS
Neves Paulista (SP),0.754,0.737,0.707,0.823,Neves Paulista - SP
Sinop (MT),0.754,0.755,0.682,0.832,Sinop - MT
Registro (SP),0.754,0.718,0.702,0.851,Registro - SP
Palmeira D'Oeste (SP),0.753,0.72,0.714,0.829,Palmeira D'Oeste - SP
Tarumã (SP),0.753,0.738,0.68,0.852,Tarumã - SP
Guaíra (SP),0.753,0.759,0.683,0.824,Guaíra - SP
Nilópolis (RJ),0.753,0.731,0.716,0.817,Nilópolis - RJ
Magda (SP),0.753,0.724,0.717,0.823,Magda - SP
Estação (RS),0.753,0.752,0.674,0.843,Estação - RS
Rancho Queimado (SC),0.753,0.743,0.644,0.893,Rancho Queimado - SC
Ipeúna (SP),0.753,0.737,0.685,0.845,Ipeúna - SP
Salvador das Missões (RS),0.753,0.71,0.706,0.851,Salvador das Missões - RS
Novo Horizonte (SP),0.753,0.741,0.665,0.865,Novo Horizonte - SP
Forquilhinha (SC),0.753,0.754,0.657,0.861,Forquilhinha - SC
Congonhas (MG),0.753,0.732,0.665,0.877,Congonhas - MG
João Neiva (ES),0.753,0.751,0.663,0.857,João Neiva - ES
Três Fronteiras (SP),0.753,0.71,0.726,0.829,Três Fronteiras - SP
Mangaratiba (RJ),0.753,0.746,0.676,0.845,Mangaratiba - RJ
Monte Azul Paulista (SP),0.753,0.733,0.69,0.843,Monte Azul Paulista - SP
Santo Anastácio (SP),0.753,0.725,0.689,0.854,Santo Anastácio - SP
Garopaba (SC),0.753,0.737,0.668,0.868,Garopaba - SC
Nicolau Vergueiro (RS),0.753,0.772,0.66,0.839,Nicolau Vergueiro - RS
Ajuricaba (RS),0.753,0.763,0.658,0.85,Ajuricaba - RS
Monte Belo do Sul (RS),0.752,0.752,0.663,0.852,Monte Belo do Sul - RS
Três Marias (MG),0.752,0.706,0.695,0.866,Três Marias - MG
Itumbiara (GO),0.752,0.744,0.682,0.838,Itumbiara - GO
Primavera do Leste (MT),0.752,0.774,0.653,0.843,Primavera do Leste - MT
Pranchita (PR),0.752,0.743,0.696,0.821,Pranchita - PR
Boa Vista (RR),0.752,0.737,0.708,0.816,Boa Vista - RR
Enéas Marques (PR),0.752,0.767,0.664,0.835,Enéas Marques - PR
Xaxim (SC),0.752,0.737,0.662,0.871,Xaxim - SC
Laguna (SC),0.752,0.715,0.682,0.871,Laguna - SC
Marapoama (SP),0.752,0.736,0.679,0.852,Marapoama - SP
Araguaína (TO),0.752,0.727,0.712,0.821,Araguaína - TO
Severiano de Almeida (RS),0.752,0.738,0.67,0.861,Severiano de Almeida - RS
Tatuí (SP),0.752,0.734,0.688,0.842,Tatuí - SP
Aracruz (ES),0.752,0.717,0.707,0.838,Aracruz - ES
Tunápolis (SC),0.752,0.728,0.704,0.83,Tunápolis - SC
Westfalia (RS),0.752,0.796,0.63,0.849,Westfalia - RS
Capinzal (SC),0.752,0.742,0.659,0.869,Capinzal - SC
Lucélia (SP),0.752,0.728,0.695,0.841,Lucélia - SP
Teresina (PI),0.751,0.731,0.707,0.82,Teresina - PI
Guaramirim (SC),0.751,0.748,0.641,0.885,Guaramirim - SC
Tapiratiba (SP),0.751,0.703,0.692,0.87,Tapiratiba - SP
Porto Ferreira (SP),0.751,0.736,0.696,0.827,Porto Ferreira - SP
Sales (SP),0.751,0.708,0.697,0.859,Sales - SP
Guaxupé (MG),0.751,0.729,0.659,0.88,Guaxupé - MG
Planalto Alegre (SC),0.751,0.731,0.659,0.881,Planalto Alegre - SC
Mandaguari (PR),0.751,0.732,0.689,0.84,Mandaguari - PR
Foz do Iguaçu (PR),0.751,0.748,0.661,0.858,Foz do Iguaçu - PR
Américo Brasiliense (SP),0.751,0.709,0.701,0.852,Américo Brasiliense - SP
Cataguases (MG),0.751,0.718,0.685,0.861,Cataguases - MG
Rancharia (SP),0.751,0.72,0.683,0.861,Rancharia - SP
Mirandópolis (SP),0.751,0.732,0.665,0.869,Mirandópolis - SP
Pinhais (PR),0.751,0.761,0.666,0.836,Pinhais - PR
Guaraciaba (SC),0.751,0.754,0.646,0.871,Guaraciaba - SC
Ubatuba (SP),0.751,0.741,0.679,0.841,Ubatuba - SP
Guarujá (SP),0.751,0.729,0.679,0.854,Guarujá - SP
Osório (RS),0.751,0.769,0.646,0.853,Osório - RS
Indiaporã (SP),0.751,0.714,0.71,0.835,Indiaporã - SP
Sertão (RS),0.751,0.746,0.678,0.837,Sertão - RS
Bastos (SP),0.751,0.696,0.718,0.848,Bastos - SP
Turiúba (SP),0.751,0.713,0.721,0.824,Turiúba - SP
Catiguá (SP),0.751,0.734,0.676,0.852,Catiguá - SP
Nhandeara (SP),0.751,0.755,0.672,0.835,Nhandeara - SP
Cambuí (MG),0.751,0.722,0.674,0.872,Cambuí - MG
Presidente Epitácio (SP),0.75,0.714,0.7,0.845,Presidente Epitácio - SP
São João do Pau D'Alho (SP),0.75,0.714,0.692,0.854,São João do Pau D'Alho - SP
Campo Verde (MT),0.75,0.755,0.67,0.834,Campo Verde - MT
Canoas (RS),0.75,0.768,0.636,0.864,Canoas - RS
Capivari (SP),0.75,0.744,0.669,0.848,Capivari - SP
Feliz (RS),0.75,0.758,0.658,0.847,Feliz - RS
Bariri (SP),0.75,0.736,0.662,0.867,Bariri - SP
Paranaguá (PR),0.75,0.733,0.676,0.852,Paranaguá - PR
Água Santa (RS),0.75,0.84,0.59,0.85,Água Santa - RS
Cruz Alta (RS),0.75,0.754,0.653,0.858,Cruz Alta - RS
Bom Despacho (MG),0.75,0.742,0.661,0.861,Bom Despacho - MG
Peruíbe (SP),0.749,0.73,0.675,0.854,Peruíbe - SP
São Lourenço do Oeste (SC),0.749,0.748,0.695,0.807,São Lourenço do Oeste - SC
Arcos (MG),0.749,0.717,0.671,0.874,Arcos - MG
Pirajuí (SP),0.749,0.734,0.672,0.853,Pirajuí - SP
Campos do Jordão (SP),0.749,0.761,0.648,0.852,Campos do Jordão - SP
Rio Grande da Serra (SP),0.749,0.684,0.745,0.823,Rio Grande da Serra - SP
Laurentino (SC),0.749,0.742,0.662,0.855,Laurentino - SC
Artur Nogueira (SP),0.749,0.745,0.681,0.827,Artur Nogueira - SP
Terra Roxa (SP),0.749,0.732,0.684,0.838,Terra Roxa - SP
União Paulista (SP),0.749,0.697,0.699,0.863,União Paulista - SP
Harmonia (RS),0.749,0.748,0.668,0.841,Harmonia - RS
Embu-Guaçu (SP),0.749,0.713,0.708,0.834,Embu-Guaçu - SP
Antônio Carlos (SC),0.749,0.768,0.615,0.89,Antônio Carlos - SC
Pareci Novo (RS),0.749,0.738,0.668,0.852,Pareci Novo - RS
Paraíso (SP),0.749,0.751,0.668,0.837,Paraíso - SP
Linha Nova (RS),0.749,0.751,0.662,0.846,Linha Nova - RS
Ipuã (SP),0.749,0.759,0.654,0.848,Ipuã - SP
Xavantina (SC),0.749,0.772,0.632,0.861,Xavantina - SC
Carapicuíba (SP),0.749,0.721,0.693,0.842,Carapicuíba - SP
Oscar Bressane (SP),0.749,0.713,0.715,0.823,Oscar Bressane - SP
Betim (MG),0.749,0.709,0.687,0.864,Betim - MG
Mondaí (SC),0.748,0.728,0.657,0.875,Mondaí - SC
Arapongas (PR),0.748,0.751,0.669,0.834,Arapongas - PR
Nova Trento (SC),0.748,0.749,0.628,0.891,Nova Trento - SC
Cabedelo (PB),0.748,0.782,0.651,0.822,Cabedelo - PB
Tanabi (SP),0.748,0.735,0.687,0.829,Tanabi - SP
Cafelândia (PR),0.748,0.723,0.692,0.835,Cafelândia - PR
Taquaritinga (SP),0.748,0.727,0.696,0.827,Taquaritinga - SP
São João do Polêsine (RS),0.748,0.748,0.661,0.847,São João do Polêsine - RS
Apucarana (PR),0.748,0.741,0.668,0.845,Apucarana - PR
São João de Iracema (SP),0.748,0.682,0.738,0.833,São João de Iracema - SP
Barão (RS),0.748,0.767,0.652,0.836,Barão - RS
Ituporanga (SC),0.748,0.749,0.638,0.876,Ituporanga - SC
Duartina (SP),0.748,0.716,0.698,0.837,Duartina - SP
Miraselva (PR),0.748,0.694,0.707,0.854,Miraselva - PR
Barra do Garças (MT),0.748,0.738,0.693,0.817,Barra do Garças - MT
Canela (RS),0.748,0.738,0.667,0.849,Canela - RS
Confins (MG),0.747,0.706,0.711,0.83,Confins - MG
Charqueadas (RS),0.747,0.726,0.659,0.87,Charqueadas - RS
Jandaia do Sul (PR),0.747,0.741,0.703,0.801,Jandaia do Sul - PR
Tucunduva (RS),0.747,0.748,0.682,0.816,Tucunduva - RS
Elisiário (SP),0.747,0.711,0.712,0.825,Elisiário - SP
Ribeirão do Sul (SP),0.747,0.753,0.676,0.818,Ribeirão do Sul - SP
Tapera (RS),0.747,0.743,0.672,0.835,Tapera - RS
Potirendaba (SP),0.747,0.737,0.661,0.857,Potirendaba - SP
Floreal (SP),0.747,0.71,0.726,0.808,Floreal - SP
Cândido Mota (SP),0.747,0.701,0.704,0.845,Cândido Mota - SP
Governador Celso Ramos (SC),0.747,0.737,0.651,0.87,Governador Celso Ramos - SC
Sud Mennucci (SP),0.747,0.743,0.694,0.809,Sud Mennucci - SP
Teutônia (RS),0.747,0.751,0.65,0.855,Teutônia - RS
Condor (RS),0.747,0.735,0.666,0.852,Condor - RS
Cordilheira Alta (SC),0.747,0.735,0.662,0.855,Cordilheira Alta - SC
Ouvidor (GO),0.747,0.721,0.697,0.83,Ouvidor - GO
Ibitinga (SP),0.747,0.738,0.667,0.846,Ibitinga - SP
Alto Alegre (RS),0.747,0.756,0.642,0.859,Alto Alegre - RS
Sananduva (RS),0.747,0.764,0.647,0.843,Sananduva - RS
Pato Bragado (PR),0.747,0.745,0.694,0.807,Pato Bragado - PR
General Salgado (SP),0.747,0.734,0.702,0.808,General Salgado - SP
Nova Aurora (GO),0.747,0.703,0.697,0.849,Nova Aurora - GO
Iturama (MG),0.747,0.73,0.674,0.848,Iturama - MG
Novo Hamburgo (RS),0.747,0.778,0.629,0.852,Novo Hamburgo - RS
Dourados (MS),0.747,0.753,0.657,0.843,Dourados - MS
São José do Inhacorá (RS),0.747,0.723,0.702,0.822,São José do Inhacorá - RS
Nova Bassano (RS),0.747,0.778,0.632,0.849,Nova Bassano - RS
Brumadinho (MG),0.747,0.761,0.639,0.857,Brumadinho - MG
Astorga (PR),0.747,0.754,0.675,0.818,Astorga - PR
Balneário Arroio do Silva (SC),0.746,0.753,0.642,0.858,Balneário Arroio do Silva - SC
Borá (SP),0.746,0.712,0.675,0.863,Borá - SP
Doutor Camargo (PR),0.746,0.704,0.702,0.839,Doutor Camargo - PR
Bady Bassitt (SP),0.746,0.737,0.701,0.805,Bady Bassitt - SP
Coqueiros do Sul (RS),0.746,0.806,0.614,0.84,Coqueiros do Sul - RS
Bom Princípio (RS),0.746,0.751,0.661,0.836,Bom Princípio - RS
Capitão (RS),0.746,0.747,0.661,0.842,Capitão - RS
Urânia (SP),0.746,0.727,0.709,0.804,Urânia - SP
Palmital (SP),0.746,0.727,0.702,0.814,Palmital - SP
Nuporanga (SP),0.746,0.73,0.656,0.866,Nuporanga - SP
Colatina (ES),0.746,0.738,0.668,0.841,Colatina - ES
Santa Tereza (RS),0.746,0.765,0.637,0.853,Santa Tereza - RS
Paraíso do Norte (PR),0.746,0.752,0.668,0.825,Paraíso do Norte - PR
Getúlio Vargas (RS),0.746,0.747,0.658,0.843,Getúlio Vargas - RS
Muçum (RS),0.746,0.757,0.654,0.84,Muçum - RS
Belém (PA),0.746,0.751,0.673,0.822,Belém - PA
Cachoeiro de Itapemirim (ES),0.746,0.733,0.677,0.837,Cachoeiro de Itapemirim - ES
Mato Leitão (RS),0.746,0.721,0.676,0.853,Mato Leitão - RS
Valparaíso de Goiás (GO),0.746,0.733,0.695,0.815,Valparaíso de Goiás - GO
Itambé (PR),0.746,0.691,0.703,0.854,Itambé - PR
Três Ranchos (GO),0.745,0.724,0.672,0.849,Três Ranchos - GO
Floraí (PR),0.745,0.739,0.656,0.853,Floraí - PR
Águas de Lindóia (SP),0.745,0.725,0.675,0.846,Águas de Lindóia - SP
Miguel Pereira (RJ),0.745,0.74,0.675,0.828,Miguel Pereira - RJ
Rafard (SP),0.745,0.722,0.696,0.823,Rafard - SP
Petrópolis (RJ),0.745,0.763,0.639,0.847,Petrópolis - RJ
Junqueirópolis (SP),0.745,0.727,0.662,0.86,Junqueirópolis - SP
Iacanga (SP),0.745,0.721,0.675,0.851,Iacanga - SP
Echaporã (SP),0.745,0.719,0.69,0.834,Echaporã - SP
Nova Friburgo (RJ),0.745,0.758,0.645,0.846,Nova Friburgo - RJ
Américo de Campos (SP),0.745,0.715,0.708,0.817,Américo de Campos - SP
Bozano (RS),0.745,0.773,0.628,0.853,Bozano - RS
Águas Frias (SC),0.745,0.728,0.661,0.86,Águas Frias - SC
Agudos (SP),0.745,0.705,0.694,0.845,Agudos - SP
Itanhaém (SP),0.745,0.716,0.701,0.823,Itanhaém - SP
Campo Largo (PR),0.745,0.73,0.664,0.854,Campo Largo - PR
Mairipotaba (GO),0.745,0.748,0.648,0.854,Mairipotaba - GO
Urupês (SP),0.745,0.741,0.683,0.817,Urupês - SP
Campo Bom (RS),0.745,0.755,0.643,0.852,Campo Bom - RS
Itápolis (SP),0.744,0.738,0.667,0.836,Itápolis - SP
Barra do Jacaré (PR),0.744,0.678,0.747,0.813,Barra do Jacaré - PR
Bento de Abreu (SP),0.744,0.706,0.712,0.82,Bento de Abreu - SP
Salete (SC),0.744,0.737,0.695,0.803,Salete - SC
São Manuel (SP),0.744,0.735,0.695,0.805,São Manuel - SP
Lobato (PR),0.744,0.708,0.692,0.841,Lobato - PR
Paracatu (MG),0.744,0.704,0.685,0.854,Paracatu - MG
Arealva (SP),0.744,0.718,0.683,0.84,Arealva - SP
Santa Helena (PR),0.744,0.738,0.678,0.823,Santa Helena - PR
Vista Alegre do Alto (SP),0.744,0.726,0.676,0.84,Vista Alegre do Alto - SP
Dumont (SP),0.744,0.72,0.674,0.849,Dumont - SP
Coronel Barros (RS),0.744,0.793,0.61,0.852,Coronel Barros - RS
Bicas (MG),0.744,0.726,0.667,0.85,Bicas - MG
Formosa (GO),0.744,0.726,0.666,0.852,Formosa - GO
Leme (SP),0.744,0.729,0.665,0.851,Leme - SP
Mendonça (SP),0.744,0.72,0.663,0.863,Mendonça - SP
Perdões (MG),0.744,0.71,0.661,0.878,Perdões - MG
Uruguaiana (RS),0.744,0.722,0.661,0.863,Uruguaiana - RS
Três Corações (MG),0.744,0.73,0.66,0.855,Três Corações - MG
Torrinha (SP),0.744,0.734,0.658,0.852,Torrinha - SP
Coronel Freitas (SC),0.744,0.732,0.653,0.86,Coronel Freitas - SC
Campos de Júlio (MT),0.744,0.8,0.625,0.825,Campos de Júlio - MT
Pires do Rio (GO),0.744,0.719,0.65,0.88,Pires do Rio - GO
Três Lagoas (MS),0.744,0.752,0.645,0.849,Três Lagoas - MS
Poço das Antas (RS),0.744,0.742,0.634,0.877,Poço das Antas - RS
Nova Palma (RS),0.744,0.762,0.643,0.841,Nova Palma - RS
Sorriso (MT),0.744,0.774,0.635,0.839,Sorriso - MT
Rio Grande (RS),0.744,0.752,0.637,0.861,Rio Grande - RS
Matinhos (PR),0.743,0.743,0.662,0.834,Matinhos - PR
Mairinque (SP),0.743,0.721,0.684,0.831,Mairinque - SP
Caxambu (MG),0.743,0.77,0.629,0.848,Caxambu - MG
Imigrante (RS),0.743,0.764,0.635,0.844,Imigrante - RS
Dois Irmãos (RS),0.743,0.763,0.633,0.848,Dois Irmãos - RS
Jussara (GO),0.743,0.768,0.635,0.842,Jussara - GO
Sobradinho (RS),0.743,0.735,0.647,0.861,Sobradinho - RS
Jacarezinho (PR),0.743,0.734,0.663,0.844,Jacarezinho - PR
Penha (SC),0.743,0.739,0.64,0.867,Penha - SC
Augusto Pestana (RS),0.743,0.779,0.621,0.847,Augusto Pestana - RS
Jaguariaíva (PR),0.743,0.698,0.684,0.859,Jaguariaíva - PR
São Jorge do Ivaí (PR),0.743,0.727,0.696,0.81,São Jorge do Ivaí - PR
Morro Reuter (RS),0.743,0.733,0.653,0.858,Morro Reuter - RS
Mira Estrela (SP),0.743,0.697,0.731,0.806,Mira Estrela - SP
Nova Luzitânia (SP),0.743,0.705,0.719,0.808,Nova Luzitânia - SP
Guatapará (SP),0.743,0.724,0.688,0.822,Guatapará - SP
Capão da Canoa (RS),0.743,0.756,0.637,0.852,Capão da Canoa - RS
Macaubal (SP),0.743,0.72,0.676,0.844,Macaubal - SP
Santa Cruz da Esperança (SP),0.743,0.719,0.686,0.832,Santa Cruz da Esperança - SP
Descanso (SC),0.743,0.741,0.647,0.854,Descanso - SC
Lindóia do Sul (SC),0.743,0.747,0.636,0.865,Lindóia do Sul - SC
Marema (SC),0.743,0.748,0.636,0.862,Marema - SC
Promissão (SP),0.743,0.724,0.666,0.85,Promissão - SP
Iporá (GO),0.743,0.731,0.667,0.84,Iporá - GO
Dolcinópolis (SP),0.742,0.699,0.709,0.825,Dolcinópolis - SP
Silveira Martins (RS),0.742,0.744,0.644,0.852,Silveira Martins - RS
Bom Sucesso do Sul (PR),0.742,0.704,0.695,0.836,Bom Sucesso do Sul - PR
Bocaina (SP),0.742,0.741,0.656,0.84,Bocaina - SP
Chapadão do Céu (GO),0.742,0.748,0.652,0.837,Chapadão do Céu - GO
Lindóia (SP),0.742,0.722,0.654,0.864,Lindóia - SP
Irani (SC),0.742,0.715,0.675,0.847,Irani - SC
Campos Novos (SC),0.742,0.721,0.658,0.861,Campos Novos - SC
São Martinho (SC),0.742,0.754,0.654,0.83,São Martinho - SC
Cafelândia (SP),0.742,0.714,0.661,0.867,Cafelândia - SP
Itapecerica da Serra (SP),0.742,0.699,0.687,0.852,Itapecerica da Serra - SP
Nova Ramada (RS),0.742,0.752,0.642,0.847,Nova Ramada - RS
Pedranópolis (SP),0.742,0.698,0.684,0.854,Pedranópolis - SP
Dona Emma (SC),0.742,0.762,0.622,0.862,Dona Emma - SC
Lourdes (SP),0.742,0.697,0.717,0.816,Lourdes - SP
Mariana (MG),0.742,0.705,0.664,0.874,Mariana - MG
Tio Hugo (RS),0.742,0.709,0.682,0.845,Tio Hugo - RS
Cunha Porã (SC),0.742,0.744,0.682,0.804,Cunha Porã - SC
Ascurra (SC),0.742,0.739,0.636,0.868,Ascurra - SC
Vila Flores (RS),0.742,0.725,0.65,0.867,Vila Flores - RS
Barro Alto (GO),0.742,0.701,0.682,0.854,Barro Alto - GO
Quatro Barras (PR),0.742,0.74,0.665,0.831,Quatro Barras - PR
Vazante (MG),0.742,0.707,0.666,0.866,Vazante - MG
Cachoeira do Sul (RS),0.742,0.739,0.648,0.854,Cachoeira do Sul - RS
Guaraí (TO),0.741,0.724,0.67,0.839,Guaraí - TO
Santos Dumont (MG),0.741,0.688,0.697,0.847,Santos Dumont - MG
Ouro Preto (MG),0.741,0.721,0.677,0.834,Ouro Preto - MG
Pejuçara (RS),0.741,0.724,0.648,0.867,Pejuçara - RS
Teodoro Sampaio (SP),0.741,0.699,0.679,0.856,Teodoro Sampaio - SP
Dirce Reis (SP),0.741,0.686,0.704,0.842,Dirce Reis - SP
Nova Roma do Sul (RS),0.741,0.794,0.602,0.851,Nova Roma do Sul - RS
São Luiz Gonzaga (RS),0.741,0.718,0.664,0.855,São Luiz Gonzaga - RS
Bambuí (MG),0.741,0.735,0.636,0.87,Bambuí - MG
Anhumas (SP),0.741,0.683,0.706,0.845,Anhumas - SP
Cotiporã (RS),0.741,0.767,0.636,0.835,Cotiporã - RS
Cachoeira da Prata (MG),0.741,0.689,0.707,0.834,Cachoeira da Prata - MG
Miguelópolis (SP),0.741,0.712,0.661,0.863,Miguelópolis - SP
Alfredo Marcondes (SP),0.741,0.682,0.71,0.84,Alfredo Marcondes - SP
João Ramalho (SP),0.741,0.701,0.71,0.818,João Ramalho - SP
Monte Castelo (SP),0.741,0.706,0.709,0.814,Monte Castelo - SP
